years,place,lat,lon
178.188,Anchorage,61.1508,-149.1091
174.684,Atlanta,33.7628,-84.422
209.952,Austin,30.3005,-97.7522
174.376,Baltimore,39.3051,-76.6144
187.294,Boston,42.3188,-71.0852
204.724,Buffalo,42.9018,-78.8487
210.288,Charlotte,35.2083,-80.8303
169.884,Chicago,41.8375,-87.6866
191.134,Cincinnati,39.1413,-84.506
185.364,Cleveland,41.4764,-81.6805
209.424,Columbus,39.9862,-82.9855
198.152,Dallas,32.7935,-96.7667
186.156,Denver,39.762,-104.8758
146.568,Detroit,42.3834,-83.1024
177.178,Honolulu,21.3294,-157.846
187.682,Houston,29.786,-95.3885
183.25,Indianapolis,39.7771,-86.1458
199.426,Jacksonville,30.3322,-81.6749
189.994,Kansas City,39.1238,-94.5541
171.856,Las Vegas,36.2333,-115.2654
163.964,Los Angeles,34.1141,-118.4068
204.082,Madison,43.0822,-89.393
174.496,Miami,25.784,-80.2101
184.292,Milwaukee,43.0642,-87.9675
188.668,Minneapolis,44.9635,-93.2678
178.206,Nashville,36.1715,-86.7842
160.084,New York,40.6943,-73.9249
190.564,Oakland,37.7904,-122.2166
204.572,Oklahoma City,35.4676,-97.5136
198.026,Orlando,28.4773,-81.337
168.878,Philadelphia,40.0077,-75.1339
165.196,Phoenix,33.5722,-112.0892
188.286,Portland,45.5371,-122.65
216.718,Raleigh,35.8324,-78.6429
186.194,Sacramento,38.5677,-121.4685
181.706,Saint Louis,38.627,-90.1994
173.446,Salt Lake City,40.7776,-111.9311
202.832,San Antonio,29.4632,-98.5238
209.904,San Diego,32.8313,-117.1222
180.254,San Francisco,37.7558,-122.4449
206.824,San Jose,37.3012,-121.848
209.246,Seattle,47.6211,-122.3244
181.226,Spokane,47.6671,-117.433
192.166,Tampa,27.9945,-82.4447
183.396,Tucson,32.1541,-110.8787
174.396,Washington,38.9047,-77.0163
