state,visited
Delaware,185.58
Connecticut,182.5
Georgia,182.5
Hawaii,176.19
Illinois,176.19
Arkansas,167.78
California,166.24
Kentucky,166.24
Minnesota,166.24
Montana,165.87
Nebraska,165.87
Colorado,161.87
Indiana,161.1
Idaho,139.64
Iowa,139.64
Kansas,139.64
Louisiana,139.64
Maine,139.64
Massachusetts,139.64
Michigan,139.64
Mississippi,139.64
New Jersey,139.64
New Mexico,139.64
New York,137.84
Missouri,131.86
Nevada,131.86
New Hampshire,131.86
North Carolina,131.86
North Dakota,131.86
Ohio,131.86
Oklahoma,131.86
Oregon,131.86
Pennsylvania,131.86
Rhode Island,131.86
South Carolina,131.86
South Dakota,131.86
Tennessee,131.86
Texas,131.86
Utah,131.86
Vermont,131.86
Virginia,131.86
Alabama,0
Alaska,0
Arizona,0
Florida,0
Maryland,0
Washington,0
West Virginia,0
Wisconsin,0
Wyoming,0
