id	name	QOL	PPI	SI	HI	COLI	PPIR	TI	PI	CI
-3	Somaliland	no data	no data	no data	no data	no data	no data	no data	no data	no data
-2	Kosovo	no data	no data	no data	no data	no data	no data	no data	no data	no data
-1	Northern Cyprus	no data	no data	no data	no data	no data	no data	no data	no data	no data
4	Afghanistan	no data	no data	no data	no data	no data	no data	no data	no data	no data
8	Albania	no data	no data	no data	no data	no data	no data	no data	no data	no data
10	Antarctica	no data	no data	no data	no data	no data	no data	no data	no data	no data
12	Algeria	no data	no data	no data	no data	no data	no data	no data	no data	no data
16	American Samoa	no data	no data	no data	no data	no data	no data	no data	no data	no data
20	Andorra	no data	no data	no data	no data	no data	no data	no data	no data	no data
24	Angola	no data	no data	no data	no data	no data	no data	no data	no data	no data
28	Antigua and Barbuda	no data	no data	no data	no data	no data	no data	no data	no data	no data
31	Azerbaijan	104.1	27.26	67.75	44.85	29.73	16.77	39.61	74.3	91.4
32	Argentina	105.42	30.72	35.86	69.32	34.69	26.04	43.3	51.19	98.28
36	Australia	183.81	104.63	56.15	78.14	77.75	7.2	34.78	23.85	92.7
40	Austria	179.16	77.25	73.92	76.75	71.04	10.75	25.55	21.73	77.15
44	Bahamas	no data	no data	no data	no data	no data	no data	no data	no data	no data
48	Bahrain	no data	no data	no data	no data	no data	no data	no data	no data	no data
50	Bangladesh	67.59	25.3	36.55	42.25	33.13	13.54	55.92	84.99	71.29
51	Armenia	no data	no data	no data	no data	no data	no data	no data	no data	no data
52	Barbados	no data	no data	no data	no data	no data	no data	no data	no data	no data
56	Belgium	151.86	79.72	54.62	75.49	72.61	7.09	36.89	50.11	86.03
60	Bermuda	no data	no data	no data	no data	no data	no data	no data	no data	no data
64	Bhutan	no data	no data	no data	no data	no data	no data	no data	no data	no data
68	"Bolivia, Plurinational State of"	no data	no data	no data	no data	no data	no data	no data	no data	no data
70	Bosnia and Herzegovina	127.07	44.1	57.77	54.3	36.12	10.78	25.99	60.92	80.48
72	Botswana	no data	no data	no data	no data	no data	no data	no data	no data	no data
74	Bouvet Island	no data	no data	no data	no data	no data	no data	no data	no data	no data
76	Brazil	107.04	27.85	32.99	57.84	33.24	16.26	41.28	53.84	97.15
84	Belize	no data	no data	no data	no data	no data	no data	no data	no data	no data
86	British Indian Ocean Territory	no data	no data	no data	no data	no data	no data	no data	no data	no data
90	Solomon Islands	no data	no data	no data	no data	no data	no data	no data	no data	no data
92	"Virgin Islands, British"	no data	no data	no data	no data	no data	no data	no data	no data	no data
96	Brunei Darussalam	no data	no data	no data	no data	no data	no data	no data	no data	no data
