id	name	QOL
-1	Northern Cyprus	-1
-2	Kosovo	-1
-3	Somaliland	-1
4	Afghanistan	-1
8	Albania	-1
10	Antarctica	-1
12	Algeria	-1
16	American Samoa	-1
20	Andorra	-1
24	Angola	-1
28	Antigua and Barbuda	-1
31	Azerbaijan	104.1
32	Argentina	105.42
36	Australia	183.81
40	Austria	179.16
44	Bahamas	-1
48	Bahrain	-1
50	Bangladesh	67.59
51	Armenia	-1
52	Barbados	-1
56	Belgium	151.86
60	Bermuda	-1
64	Bhutan	-1
68	Bolivia, Plurinational State of	-1
70	Bosnia and Herzegovina	127.07
72	Botswana	-1
74	Bouvet Island	-1
76	Brazil	107.04
84	Belize	-1
86	British Indian Ocean Territory	-1
90	Solomon Islands	-1
92	Virgin Islands, British	-1
96	Brunei Darussalam	-1
100	Bulgaria	130.09
104	Myanmar	-1
108	Burundi	-1
112	Belarus	108.48
116	Cambodia	-1
120	Cameroon	-1
124	Canada	160.38
132	Cape Verde	-1
136	Cayman Islands	-1
140	Central African Republic	-1
144	Sri Lanka	67.88
148	Chad	-1
152	Chile	100.15
156	China	105.07
158	Taiwan, Province of China	-1
162	Christmas Island	-1
166	Cocos (Keeling) Islands	-1
170	Colombia	103.54
174	Comoros	-1
175	Mayotte	-1
178	Congo	-1
180	Congo, the Democratic Republic of the	-1
184	Cook Islands	-1
188	Costa Rica	122.07
191	Croatia	159.21
192	Cuba	-1
196	Cyprus	147.1
203	Czech Republic	162.64
204	Benin	-1
208	Denmark	192.36
212	Dominica	-1
214	Dominican Republic	-1
218	Ecuador	118.84
222	El Salvador	-1
226	Equatorial Guinea	-1
231	Ethiopia	-1
232	Eritrea	-1
233	Estonia	174.19
234	Faroe Islands	-1
238	Falkland Islands (Malvinas)	-1
239	South Georgia and the South Sandwich Islands	-1
242	Fiji	-1
246	Finland	184.96
248	Åland Islands	-1
250	France	156.65
254	French Guiana	-1
258	French Polynesia	-1
260	French Southern Territories	-1
262	Djibouti	-1
266	Gabon	-1
268	Georgia	121.14
270	Gambia	-1
275	Palestinian Territory, Occupied	-1
276	Germany	180.27
288	Ghana	-1
292	Gibraltar	-1
296	Kiribati	-1
300	Greece	129.24
304	Greenland	-1
308	Grenada	-1
312	Guadeloupe	-1
316	Guam	-1
320	Guatemala	-1
324	Guinea	-1
328	Guyana	-1
332	Haiti	-1
334	Heard Island and McDonald Islands	-1
336	Holy See (Vatican City State)	-1
340	Honduras	-1
344	Hong Kong	98.42
348	Hungary	137.15
352	Iceland	182.26
356	India	110.99
360	Indonesia	90.36
364	Iran, Islamic Republic of	-1
368	Iraq	-1
372	Ireland	154.52
376	Israel	146.06
380	Italy	141.07
384	Côte d'Ivoire	-1
388	Jamaica	-1
392	Japan	169.48
398	Kazakhstan	93.77
400	Jordan	113.92
404	Kenya	92.54
408	Korea, Democratic People's Republic of	-1
410	Korea, Republic of	-1
414	Kuwait	117.34
417	Kyrgyzstan	-1
418	Lao People's Democratic Republic	-1
422	Lebanon	99.35
426	Lesotho	-1
428	Latvia	150.81
430	Liberia	-1
434	Libya	-1
438	Liechtenstein	-1
440	Lithuania	161.84
442	Luxembourg	173.63
446	Macao	-1
450	Madagascar	-1
454	Malawi	-1
458	Malaysia	117.98
462	Maldives	-1
466	Mali	-1
470	Malta	109.5
474	Martinique	-1
478	Mauritania	-1
480	Mauritius	-1
484	Mexico	124.9
492	Monaco	-1
496	Mongolia	-1
498	Moldova, Republic of	-1
499	Montenegro	-1
500	Montserrat	-1
504	Morocco	107.54
508	Mozambique	-1
512	Oman	173.68
516	Namibia	-1
520	Nauru	-1
524	Nepal	-1
528	Netherlands	185.38
531	Curaçao	-1
533	Aruba	-1
534	Sint Maarten (Dutch part)	-1
535	Bonaire, Sint Eustatius and Saba	-1
540	New Caledonia	-1
548	Vanuatu	-1
554	New Zealand	176.81
558	Nicaragua	-1
562	Niger	-1
566	Nigeria	52.44
570	Niue	-1
574	Norfolk Island	-1
578	Norway	176.39
580	Northern Mariana Islands	-1
581	United States Minor Outlying Islands	-1
583	Micronesia, Federated States of	-1
584	Marshall Islands	-1
585	Palau	-1
586	Pakistan	102.57
591	Panama	114.32
598	Papua New Guinea	-1
600	Paraguay	-1
604	Peru	80.42
608	Philippines	83.74
612	Pitcairn	-1
616	Poland	140.02
620	Portugal	162.52
